game_key,n_market_types,series
26AUG05SKBAPO,11,KXUECL1H|KXUECL1HBTTS|KXUECL1HSPREAD|KXUECL1HTOTAL|KXUECLBTTS|KXUECLFTTS|KXUECLGAME|KXUECLSCORE|KXUECLSPREAD|KXUECLTEAMTOTAL|KXUECLTOTAL
26AUG04VANALA,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG04TIGRSL,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG04MINJUA,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG04CLTPUM,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG04CLBATL,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG04CINPAC,11,KXLEAGUESCUP1H|KXLEAGUESCUP1HBTTS|KXLEAGUESCUP1HSPREAD|KXLEAGUESCUP1HTOTAL|KXLEAGUESCUPBTTS|KXLEAGUESCUPFTTS|KXLEAGUESCUPGAME|KXLEAGUESCUPSCORE|KXLEAGUESCUPSPREAD|KXLEAGUESCUPTEAMTOTAL|KXLEAGUESCUPTOTAL
26AUG042005SFTEX,11,KXMLBEXTRAS|KXMLBF3|KXMLBF5|KXMLBF5SPREAD|KXMLBF5TOTAL|KXMLBF7|KXMLBGAME|KXMLBRFI|KXMLBSPREAD|KXMLBTEAMTOTAL|KXMLBTOTAL
26AUG041915MIAATL,11,KXMLBEXTRAS|KXMLBF3|KXMLBF5|KXMLBF5SPREAD|KXMLBF5TOTAL|KXMLBF7|KXMLBGAME|KXMLBRFI|KXMLBSPREAD|KXMLBTEAMTOTAL|KXMLBTOTAL
26AUG041835LAABAL,11,KXMLBEXTRAS|KXMLBF3|KXMLBF5|KXMLBF5SPREAD|KXMLBF5TOTAL|KXMLBF7|KXMLBGAME|KXMLBRFI|KXMLBSPREAD|KXMLBTEAMTOTAL|KXMLBTOTAL
26AUG04AUDDIC,11,KXUECL1H|KXUECL1HBTTS|KXUECL1HSPREAD|KXUECL1HTOTAL|KXUECLBTTS|KXUECLFTTS|KXUECLGAME|KXUECLSCORE|KXUECLSPREAD|KXUECLTEAMTOTAL|KXUECLTOTAL
26AUG05DALWSH,10,KXWNBA1HSPREAD|KXWNBA1HTOTAL|KXWNBA1HWINNER|KXWNBA2HSPREAD|KXWNBA2HTOTAL|KXWNBA2HWINNER|KXWNBAGAME|KXWNBAOT|KXWNBASPREAD|KXWNBATOTAL
26AUG04TORGS,10,KXWNBA1HSPREAD|KXWNBA1HTOTAL|KXWNBA1HWINNER|KXWNBA2HSPREAD|KXWNBA2HTOTAL|KXWNBA2HWINNER|KXWNBAGAME|KXWNBAOT|KXWNBASPREAD|KXWNBATOTAL
26AUG06VITCAP,9,KXCOPADOBRASIL1H|KXCOPADOBRASIL1HBTTS|KXCOPADOBRASIL1HSPREAD|KXCOPADOBRASIL1HTOTAL|KXCOPADOBRASILADVANCE|KXCOPADOBRASILBTTS|KXCOPADOBRASILGAME|KXCOPADOBRASILSPREAD|KXCOPADOBRASILTOTAL
26AUG06CORINT,9,KXCOPADOBRASIL1H|KXCOPADOBRASIL1HBTTS|KXCOPADOBRASIL1HSPREAD|KXCOPADOBRASIL1HTOTAL|KXCOPADOBRASILADVANCE|KXCOPADOBRASILBTTS|KXCOPADOBRASILGAME|KXCOPADOBRASILSPREAD|KXCOPADOBRASILTOTAL
26AUG05FORPAL,9,KXCOPADOBRASIL1H|KXCOPADOBRASIL1HBTTS|KXCOPADOBRASIL1HSPREAD|KXCOPADOBRASIL1HTOTAL|KXCOPADOBRASILADVANCE|KXCOPADOBRASILBTTS|KXCOPADOBRASILGAME|KXCOPADOBRASILSPREAD|KXCOPADOBRASILTOTAL
26AUG05FLUVDG,9,KXCOPADOBRASIL1H|KXCOPADOBRASIL1HBTTS|KXCOPADOBRASIL1HSPREAD|KXCOPADOBRASIL1HTOTAL|KXCOPADOBRASILADVANCE|KXCOPADOBRASILBTTS|KXCOPADOBRASILGAME|KXCOPADOBRASILSPREAD|KXCOPADOBRASILTOTAL
